Velocity: ('0.3562028278557335', '0.183622718191778', '0.0')
Position: ('1.9510238785758478', '-0.017312151037392476', '0.972807653665599')
Velocity: ('0.39209688455178227', '0.1943171081174157', '0.0')
Position: ('2.06896208243493', '-0.022510161743535484', '1.0249666851114456')
Velocity: ('0.5503703033862203', '0.05800538187750222', '0.0')
Position: ('2.1293662169138017', '-0.03474511626898358', '0.9499461901157127')
Velocity: ('0.5601086964154807', '-0.04000500585527733', '0.0')
Position: ('2.191991334159702', '-0.054792910671263906', '0.9479328296183263')
Velocity: ('0.6122220728359865', '-0.1350125140311224', '0.0')
Position: ('2.3037207960317088', '-0.08501524912257158', '0.9399328372414929')
Velocity: ('0.7134715405351371', '-0.22460326138470688', '0.0')
Position: ('2.3891769435160994', '-0.10636386472273768', '0.9260171212763252')
Velocity: ('0.788607643701021', '-0.257882011939057', '0.0')
Position: ('2.5174152776013887', '-0.14034298819571184', '0.9292069507910274')
Velocity: ('0.8864869556680627', '-0.29754415454598604', '0.0')
Position: ('2.5768663655358557', '-0.16881328714266092', '0.9019216342517541')
Velocity: ('0.8844321453939947', '-0.3409286209542441', '0.0')
Position: ('2.6644099619093446', '-0.19534158691541675', '0.8914054866351968')
Velocity: ('0.9406702073783221', '-0.3568123796819658', '0.0')
Position: ('2.6953921504184586', '-0.21697555749048908', '0.8801675232152864')
Velocity: ('0.8751654901994087', '-0.3484659715638364', '0.0')
Position: ('2.804949469273938', '-0.22576250606051096', '0.8690552597598432')
Velocity: ('0.92581731495316', '-0.2186971167323804', '0.0')
Position: ('2.926026773426436', '-0.24364007333211146', '0.8289521215944119')
Velocity: ('1.0448010602149977', '-0.22466228728607948', '0.0')
Position: ('2.9993622848921335', '-0.24441550726799538', '0.9060305374334495')
Velocity: ('1.0566555795351809', '-0.1562399930868565', '0.0')
Position: ('3.024631678932345', '-0.2360527115663924', '0.8701512926303313')
Velocity: ('0.9678296559161824', '-0.07641517122966635', '0.0')
Position: ('3.048959533702038', '-0.2339067294092939', '0.9521928561579762')
Velocity: ('0.888426660048545', '-0.050441148541473774', '0.0')
Position: ('3.0695057626359876', '-0.21526846647815578', '0.9399381296844028')
Velocity: ('0.814236080004787', '0.042719473777624306', '0.0')
Position: ('3.0913237833045573', '-0.20963201833851786', '0.9358689862297062')
Velocity: ('0.7489318743804618', '0.04963823268736217', '0.0')
Position: ('3.1184404973876507', '-0.20991408878709056', '0.9365463833131636')
Velocity: ('0.7020522360123255', '0.02956232086547389', '0.0')
Position: ('3.148952814223451', '-0.21202090760828524', '0.9486484852245961')
Velocity: ('0.6684257047488211', '0.008547549285822659', '0.0')
Position: ('3.210613637740329', '-0.2137818418169387', '0.9548910768912708')
Velocity: ('0.7019010618229188', '0.0005338164651348953', '0.0')
Position: ('3.352260968762315', '-0.22764530521548207', '0.8203713932164727')
Velocity: ('0.8875879495524007', '-0.048208024468034766', '0.0')
Position: ('3.419341472973484', '-0.23392766322291236', '0.945308578571608')
Velocity: ('0.9038165260546573', '-0.060860790646888346', '0.0')
Position: ('3.4812027919338577', '-0.23324279815048607', '0.8945654182674604')
Velocity: ('0.9061908027772052', '-0.03966341130780013', '0.0')
Position: ('3.5475728512327662', '-0.22414837247049016', '0.9229152271284927')
Velocity: ('0.918689955786578', '0.012167174559633842', '0.0')
Position: ('3.623583285254166', '-0.230840381717701', '0.9177385122573148')
Velocity: ('0.9463365742484228', '-0.018185412508103516', '0.0')
Position: ('3.7200706772289327', '-0.2340785562389593', '0.8967716667502167')
Velocity: ('1.011772060376331', '-0.02248120931594566', '0.0')
Position: ('3.7933486351125336', '-0.23532079237906653', '0.9092818617022304')
Velocity: ('1.0228292869802993', '-0.02068522457559041', '0.0')
Position: ('3.8185940087425614', '-0.22418644072084734', '0.894581120293509')
Velocity: ('0.9378228001096599', '0.026257677966780024', '0.0')
Position: ('3.841274410970407', '-0.20889155799855486', '0.9125076018468737')
Velocity: ('0.8599509169413683', '0.0774142532093001', '0.0')
Position: ('3.8989855421145037', '-0.21388756391869265', '0.8704756558402059')
Velocity: ('0.8597937633569438', '0.035979742806840465', '0.0')
Position: ('3.9512132026187796', '-0.20681610876353781', '0.8959849759206358')
Velocity: ('0.8497771096275796', '0.05439349614225725', '0.0')
Position: ('4.010315623636296', '-0.21480479510050388', '0.8973231471661345')
Velocity: ('0.8529359695886373', '0.007311444609616746', '0.0')
Position: ('4.00636738598278', '-0.2123325974609045', '0.924247453935876')
Velocity: ('0.7316804619462732', '0.009105245363331516', '0.0')
Position: ('4.005466170537093', '-0.2130281025539424', '0.937647337887519')
Velocity: ('0.6322833230978323', '-0.0010656764596986557', '0.0')
Position: ('4.0078942812976015', '-0.21664469834745453', '0.9293936604806381')
Velocity: ('0.5521800160539962', '-0.01912986950361542', '0.0')
Position: ('4.037557905760913', '-0.22442101993382235', '0.9892432495378599')
Velocity: ('0.5369226098356263', '-0.04585884845689797', '0.0')
Position: ('4.089934056270137', '-0.2391975545733539', '0.947432310088831')
Velocity: ('0.5680638297981955', '-0.09111099797087606', '0.0')
Position: ('4.123135648969476', '-0.2634892613949781', '0.9456536419861681')
Velocity: ('0.5566008865246694', '-0.16434596279090377', '0.0')
Position: ('4.141447115163168', '-0.28782557701040273', '0.9419154539246052')
Velocity: ('0.5174484355028957', '-0.2194288545328843', '0.0')
Position: ('4.182264986673318', '-0.2946585811536105', '0.969569135040615')
Velocity: ('0.5313216861629015', '-0.18792010204532586', '0.0')
Position: ('4.225935001273061', '-0.3158651981502299', '0.9353232770104926')
Velocity: ('0.5461261831710147', '-0.22120601553107094', '0.0')
Position: ('4.270288117365696', '-0.3335796504353901', '0.9326875999527969')
Velocity: ('0.5611486750794149', '-0.23167735772624815', '0.0')
Position: ('4.315407600362771', '-0.351924990811267', '0.9561941534676655')
Velocity: ('0.5759184249677802', '-0.2418158631336434', '0.0')
Position: ('4.327070442101046', '-0.37252154780366087', '0.9545738383854953')
Velocity: ('0.5213667125035067', '-0.26246526349544563', '0.0')
Position: ('4.335691783523993', '-0.3909558806608133', '0.9058453180522406')
Velocity: ('0.46821055765010106', '-0.26931047843234646', '0.0')
Position: ('4.3500455993871885', '-0.4159517507120975', '0.9861446529371005')
Velocity: ('0.43367827034935874', '-0.2987527009711161', '0.0')
Position: ('4.371240344289646', '-0.4423826203824635', '0.9618821251213355')
Velocity: ('0.41654209650500523', '-0.3246897204184145', '0.0')
